cohort_month,cohort_age_month,cohort_size,retained_customers,retention_rate_pct
2021-03-01,18,18931,3311,17.49
2021-03-01,19,18931,3289,17.37
2021-03-01,20,18931,3143,16.6
2021-03-01,21,18931,3287,17.36
2021-03-01,22,18931,3226,17.04
2021-03-01,23,18931,3061,16.17
2021-03-01,24,18931,3303,17.45
2021-03-01,25,18931,3198,16.89
2021-03-01,26,18931,3277,17.31
2021-03-01,27,18931,3099,16.37
2021-03-01,28,18931,3401,17.97
2021-03-01,29,18931,3351,17.7
2021-03-01,30,18931,3212,16.97
2021-03-01,31,18931,3319,17.53
2021-03-01,32,18931,3284,17.35
2021-03-01,33,18931,3365,17.78
2021-03-01,34,18931,3365,17.78
2021-03-01,35,18931,3025,15.98
2021-03-01,36,18931,3327,17.57
2021-03-01,37,18931,3111,16.43
2021-03-01,38,18931,3318,17.53
2021-03-01,39,18931,3076,16.25
2021-03-01,40,18931,3307,17.47
2021-03-01,41,18931,3352,17.71
2021-03-01,42,18931,3201,16.91
2021-03-01,43,18931,3290,17.38
2021-03-01,44,18931,3203,16.92
2021-03-01,45,18931,3274,17.29
2021-03-01,46,18931,3328,17.58
2021-03-01,47,18931,3047,16.1
2021-03-01,48,18931,3283,17.34
2021-03-01,49,18931,3154,16.66
2021-03-01,50,18931,3289,17.37
2021-03-01,51,18931,3209,16.95
2021-03-01,52,18931,3297,17.42
2021-03-01,53,18931,3261,17.23
2021-03-01,54,18931,3202,16.91
2021-03-01,55,18931,3268,17.26
2021-03-01,56,18931,3332,17.6
2021-03-01,57,18931,3326,17.57
2021-03-01,58,18931,3376,17.83
2021-03-01,59,18931,2958,15.63
2021-04-01,0,15114,15114,100.0
2021-04-01,1,15114,2517,16.65
2021-04-01,2,15114,2515,16.64
2021-04-01,3,15114,2544,16.83
2021-04-01,4,15114,2473,16.36
2021-04-01,5,15114,2536,16.78
2021-04-01,6,15114,2533,16.76
2021-04-01,7,15114,2506,16.58
2021-04-01,8,15114,2552,16.89
2021-04-01,9,15114,2572,17.02
2021-04-01,10,15114,2347,15.53
2021-04-01,11,15114,2541,16.81
2021-04-01,12,15114,2433,16.1
2021-04-01,13,15114,2505,16.57
2021-04-01,14,15114,2565,16.97
2021-04-01,15,15114,2451,16.22
2021-04-01,16,15114,2538,16.79
2021-04-01,17,15114,2393,15.83
2021-04-01,18,15114,2567,16.98
2021-04-01,19,15114,2501,16.55
2021-04-01,20,15114,2495,16.51
2021-04-01,21,15114,2513,16.63
2021-04-01,22,15114,2328,15.4
2021-04-01,23,15114,2592,17.15
2021-04-01,24,15114,2498,16.53
2021-04-01,25,15114,2480,16.41
2021-04-01,26,15114,2435,16.11
2021-04-01,27,15114,2472,16.36
2021-04-01,28,15114,2617,17.32
2021-04-01,29,15114,2430,16.08
2021-04-01,30,15114,2540,16.81
2021-04-01,31,15114,2480,16.41
2021-04-01,32,15114,2517,16.65
2021-04-01,33,15114,2534,16.77
2021-04-01,34,15114,2343,15.5
2021-04-01,35,15114,2607,17.25
2021-04-01,36,15114,2492,16.49
2021-04-01,37,15114,2624,17.36
2021-04-01,38,15114,2446,16.18
2021-04-01,39,15114,2454,16.24
2021-04-01,40,15114,2480,16.41
2021-04-01,41,15114,2415,15.98
2021-04-01,42,15114,2582,17.08
2021-04-01,43,15114,2416,15.99
2021-04-01,44,15114,2622,17.35
2021-04-01,45,15114,2575,17.04
2021-04-01,46,15114,2373,15.7
2021-04-01,47,15114,2486,16.45
2021-04-01,48,15114,2450,16.21
2021-04-01,49,15114,2566,16.98
2021-04-01,50,15114,2496,16.51
2021-04-01,51,15114,2588,17.12
2021-04-01,52,15114,2524,16.7
2021-04-01,53,15114,2510,16.61
2021-04-01,54,15114,2585,17.1
2021-04-01,55,15114,2569,17.0
2021-04-01,56,15114,2516,16.65
2021-04-01,57,15114,2546,16.85
2021-04-01,58,15114,2236,14.79
2021-05-01,0,13128,13128,100.0
2021-05-01,1,13128,2088,15.9
2021-05-01,2,13128,2114,16.1
2021-05-01,3,13128,2133,16.25
2021-05-01,4,13128,2067,15.74
2021-05-01,5,13128,2134,16.26
2021-05-01,6,13128,2039,15.53
2021-05-01,7,13128,2090,15.92
2021-05-01,8,13128,2129,16.22
2021-05-01,9,13128,1955,14.89
2021-05-01,10,13128,2058,15.68
2021-05-01,11,13128,2049,15.61
2021-05-01,12,13128,2116,16.12
2021-05-01,13,13128,2049,15.61
2021-05-01,14,13128,2090,15.92
2021-05-01,15,13128,2105,16.03
2021-05-01,16,13128,2077,15.82
2021-05-01,17,13128,2116,16.12
2021-05-01,18,13128,2061,15.7
2021-05-01,19,13128,2146,16.35
2021-05-01,20,13128,2108,16.06
2021-05-01,21,13128,1874,14.27
2021-05-01,22,13128,2090,15.92
2021-05-01,23,13128,2010,15.31
2021-05-01,24,13128,2078,15.83
2021-05-01,25,13128,1959,14.92
2021-05-01,26,13128,2084,15.87
2021-05-01,27,13128,2153,16.4
2021-05-01,28,13128,2142,16.32
2021-05-01,29,13128,2127,16.2
2021-05-01,30,13128,2054,15.65
2021-05-01,31,13128,2096,15.97
2021-05-01,32,13128,2139,16.29
2021-05-01,33,13128,1957,14.91
2021-05-01,34,13128,2058,15.68
2021-05-01,35,13128,2123,16.17
2021-05-01,36,13128,2113,16.1
2021-05-01,37,13128,2080,15.84
2021-05-01,38,13128,2100,16.0
2021-05-01,39,13128,2106,16.04
2021-05-01,40,13128,1952,14.87
2021-05-01,41,13128,2125,16.19
2021-05-01,42,13128,2022,15.4
2021-05-01,43,13128,2071,15.78
2021-05-01,44,13128,2106,16.04
2021-05-01,45,13128,1901,14.48
2021-05-01,46,13128,2139,16.29
2021-05-01,47,13128,2060,15.69
2021-05-01,48,13128,2072,15.78
2021-05-01,49,13128,2005,15.27
2021-05-01,50,13128,2121,16.16
2021-05-01,51,13128,2132,16.24
2021-05-01,52,13128,2073,15.79
2021-05-01,53,13128,2124,16.18
2021-05-01,54,13128,2046,15.59
2021-05-01,55,13128,2116,16.12
2021-05-01,56,13128,2088,15.9
2021-05-01,57,13128,1867,14.22
2021-06-01,0,10767,10767,100.0
2021-06-01,1,10767,1647,15.3
2021-06-01,2,10767,1696,15.75
2021-06-01,3,10767,1580,14.67
2021-06-01,4,10767,1701,15.8
2021-06-01,5,10767,1617,15.02
2021-06-01,6,10767,1672,15.53
2021-06-01,7,10767,1564,14.53
2021-06-01,8,10767,1525,14.16
2021-06-01,9,10767,1661,15.43
2021-06-01,10,10767,1577,14.65
2021-06-01,11,10767,1667,15.48
2021-06-01,12,10767,1605,14.91
2021-06-01,13,10767,1693,15.72
2021-06-01,14,10767,1637,15.2
2021-06-01,15,10767,1622,15.06
2021-06-01,16,10767,1603,14.89
2021-06-01,17,10767,1627,15.11
2021-06-01,18,10767,1692,15.71
2021-06-01,19,10767,1711,15.89
2021-06-01,20,10767,1546,14.36
2021-06-01,21,10767,1659,15.41
2021-06-01,22,10767,1530,14.21
2021-06-01,23,10767,1644,15.27
2021-06-01,24,10767,1581,14.68
2021-06-01,25,10767,1648,15.31
2021-06-01,26,10767,1664,15.45
2021-06-01,27,10767,1593,14.8
2021-06-01,28,10767,1601,14.87
2021-06-01,29,10767,1579,14.67
2021-06-01,30,10767,1687,15.67
2021-06-01,31,10767,1678,15.58
2021-06-01,32,10767,1558,14.47
2021-06-01,33,10767,1656,15.38
2021-06-01,34,10767,1538,14.28
2021-06-01,35,10767,1645,15.28
2021-06-01,36,10767,1558,14.47
2021-06-01,37,10767,1648,15.31
2021-06-01,38,10767,1659,15.41
2021-06-01,39,10767,1606,14.92
2021-06-01,40,10767,1678,15.58
2021-06-01,41,10767,1622,15.06
2021-06-01,42,10767,1647,15.3
2021-06-01,43,10767,1661,15.43
2021-06-01,44,10767,1501,13.94
2021-06-01,45,10767,1644,15.27
2021-06-01,46,10767,1591,14.78
2021-06-01,47,10767,1697,15.76
2021-06-01,48,10767,1686,15.66
2021-06-01,49,10767,1648,15.31
2021-06-01,50,10767,1625,15.09
2021-06-01,51,10767,1620,15.05
2021-06-01,52,10767,1597,14.83
2021-06-01,53,10767,1547,14.37
2021-06-01,54,10767,1630,15.14
2021-06-01,55,10767,1671,15.52
2021-06-01,56,10767,1488,13.82
2021-07-01,0,9263,9263,100.0
2021-07-01,1,9263,1369,14.78
2021-07-01,2,9263,1365,14.74
2021-07-01,3,9263,1354,14.62
2021-07-01,4,9263,1272,13.73
2021-07-01,5,9263,1381,14.91
2021-07-01,6,9263,1371,14.8
2021-07-01,7,9263,1244,13.43
2021-07-01,8,9263,1388,14.98
2021-07-01,9,9263,1304,14.08
2021-07-01,10,9263,1356,14.64
2021-07-01,11,9263,1344,14.51
2021-07-01,12,9263,1379,14.89
2021-07-01,13,9263,1407,15.19
2021-07-01,14,9263,1386,14.96
2021-07-01,15,9263,1363,14.71
2021-07-01,16,9263,1340,14.47
2021-07-01,17,9263,1363,14.71
2021-07-01,18,9263,1390,15.01
2021-07-01,19,9263,1241,13.4
2021-07-01,20,9263,1343,14.5
2021-07-01,21,9263,1363,14.71
2021-07-01,22,9263,1348,14.55
2021-07-01,23,9263,1290,13.93
2021-07-01,24,9263,1353,14.61
2021-07-01,25,9263,1353,14.61
2021-07-01,26,9263,1285,13.87
2021-07-01,27,9263,1362,14.7
2021-07-01,28,9263,1369,14.78
2021-07-01,29,9263,1313,14.17
2021-07-01,30,9263,1323,14.28
2021-07-01,31,9263,1275,13.76
2021-07-01,32,9263,1310,14.14
2021-07-01,33,9263,1282,13.84
2021-07-01,34,9263,1390,15.01
2021-07-01,35,9263,1343,14.5
2021-07-01,36,9263,1337,14.43
2021-07-01,37,9263,1377,14.87
2021-07-01,38,9263,1315,14.2
2021-07-01,39,9263,1300,14.03
2021-07-01,40,9263,1349,14.56
2021-07-01,41,9263,1316,14.21
2021-07-01,42,9263,1399,15.1
2021-07-01,43,9263,1279,13.81
2021-07-01,44,9263,1333,14.39
2021-07-01,45,9263,1375,14.84
2021-07-01,46,9263,1391,15.02
2021-07-01,47,9263,1328,14.34
2021-07-01,48,9263,1383,14.93
2021-07-01,49,9263,1369,14.78
2021-07-01,50,9263,1298,14.01
2021-07-01,51,9263,1351,14.58
2021-07-01,52,9263,1271,13.72
2021-07-01,53,9263,1360,14.68
2021-07-01,54,9263,1311,14.15
2021-07-01,55,9263,1241,13.4
2021-08-01,0,7881,7881,100.0
2021-08-01,1,7881,1105,14.02
2021-08-01,2,7881,1107,14.05
2021-08-01,3,7881,1058,13.42
2021-08-01,4,7881,1128,14.31
2021-08-01,5,7881,1089,13.82
2021-08-01,6,7881,998,12.66
2021-08-01,7,7881,1128,14.31
2021-08-01,8,7881,1086,13.78
2021-08-01,9,7881,1066,13.53
2021-08-01,10,7881,1033,13.11
2021-08-01,11,7881,1060,13.45
2021-08-01,12,7881,1147,14.55
2021-08-01,13,7881,1065,13.51
2021-08-01,14,7881,1154,14.64
2021-08-01,15,7881,1068,13.55
2021-08-01,16,7881,1098,13.93
2021-08-01,17,7881,1082,13.73
2021-08-01,18,7881,1039,13.18
2021-08-01,19,7881,1135,14.4
2021-08-01,20,7881,1064,13.5
2021-08-01,21,7881,1080,13.7
2021-08-01,22,7881,1077,13.67
2021-08-01,23,7881,1126,14.29
2021-08-01,24,7881,1111,14.1
2021-08-01,25,7881,1070,13.58
2021-08-01,26,7881,1117,14.17
2021-08-01,27,7881,1081,13.72
2021-08-01,28,7881,1088,13.81
2021-08-01,29,7881,1126,14.29
2021-08-01,30,7881,1040,13.2
2021-08-01,31,7881,1131,14.35
2021-08-01,32,7881,1049,13.31
2021-08-01,33,7881,1068,13.55
2021-08-01,34,7881,1096,13.91
2021-08-01,35,7881,1116,14.16
2021-08-01,36,7881,1118,14.19
2021-08-01,37,7881,1144,14.52
2021-08-01,38,7881,1066,13.53
2021-08-01,39,7881,1058,13.42
2021-08-01,40,7881,1180,14.97
2021-08-01,41,7881,1120,14.21
2021-08-01,42,7881,1024,12.99
2021-08-01,43,7881,1101,13.97
2021-08-01,44,7881,1056,13.4
2021-08-01,45,7881,1082,13.73
2021-08-01,46,7881,1071,13.59
2021-08-01,47,7881,1138,14.44
2021-08-01,48,7881,1100,13.96
2021-08-01,49,7881,1096,13.91
2021-08-01,50,7881,1080,13.7
2021-08-01,51,7881,1089,13.82
2021-08-01,52,7881,1099,13.94
2021-08-01,53,7881,1123,14.25
2021-08-01,54,7881,956,12.13
2021-09-01,0,6572,6572,100.0
2021-09-01,1,6572,912,13.88
2021-09-01,2,6572,876,13.33
2021-09-01,3,6572,912,13.88
2021-09-01,4,6572,836,12.72
2021-09-01,5,6572,800,12.17
2021-09-01,6,6572,893,13.59
2021-09-01,7,6572,910,13.85
2021-09-01,8,6572,913,13.89
2021-09-01,9,6572,900,13.69
2021-09-01,10,6572,923,14.04
2021-09-01,11,6572,881,13.41
2021-09-01,12,6572,840,12.78
2021-09-01,13,6572,864,13.15
2021-09-01,14,6572,886,13.48
2021-09-01,15,6572,880,13.39
2021-09-01,16,6572,890,13.54
2021-09-01,17,6572,841,12.8
2021-09-01,18,6572,899,13.68
2021-09-01,19,6572,859,13.07
2021-09-01,20,6572,868,13.21
2021-09-01,21,6572,844,12.84
2021-09-01,22,6572,924,14.06
2021-09-01,23,6572,896,13.63
2021-09-01,24,6572,937,14.26
2021-09-01,25,6572,876,13.33
2021-09-01,26,6572,886,13.48
2021-09-01,27,6572,948,14.42
2021-09-01,28,6572,885,13.47
2021-09-01,29,6572,833,12.67
2021-09-01,30,6572,944,14.36
2021-09-01,31,6572,868,13.21
2021-09-01,32,6572,862,13.12
2021-09-01,33,6572,879,13.37
2021-09-01,34,6572,822,12.51
2021-09-01,35,6572,903,13.74
2021-09-01,36,6572,873,13.28
2021-09-01,37,6572,892,13.57
2021-09-01,38,6572,871,13.25
2021-09-01,39,6572,859,13.07
2021-09-01,40,6572,886,13.48
2021-09-01,41,6572,790,12.02
2021-09-01,42,6572,932,14.18
2021-09-01,43,6572,865,13.16
2021-09-01,44,6572,902,13.72
2021-09-01,45,6572,818,12.45
2021-09-01,46,6572,909,13.83
2021-09-01,47,6572,834,12.69
2021-09-01,48,6572,875,13.31
2021-09-01,49,6572,918,13.97
2021-09-01,50,6572,857,13.04
2021-09-01,51,6572,867,13.19
2021-09-01,52,6572,938,14.27
2021-09-01,53,6572,802,12.2
2021-10-01,0,6000,6000,100.0
2021-10-01,1,6000,718,11.97
2021-10-01,2,6000,773,12.88
2021-10-01,3,6000,755,12.58
2021-10-01,4,6000,724,12.07
2021-10-01,5,6000,786,13.1
2021-10-01,6,6000,769,12.82
2021-10-01,7,6000,740,12.33
2021-10-01,8,6000,760,12.67
2021-10-01,9,6000,809,13.48
2021-10-01,10,6000,773,12.88
2021-10-01,11,6000,802,13.37
2021-10-01,12,6000,753,12.55
2021-10-01,13,6000,692,11.53
2021-10-01,14,6000,753,12.55
2021-10-01,15,6000,795,13.25
2021-10-01,16,6000,696,11.6
2021-10-01,17,6000,773,12.88
2021-10-01,18,6000,760,12.67
2021-10-01,19,6000,823,13.72
2021-10-01,20,6000,749,12.48
2021-10-01,21,6000,804,13.4
2021-10-01,22,6000,771,12.85
2021-10-01,23,6000,704,11.73
2021-10-01,24,6000,764,12.73
2021-10-01,25,6000,738,12.3
2021-10-01,26,6000,780,13.0
2021-10-01,27,6000,757,12.62
2021-10-01,28,6000,770,12.83
2021-10-01,29,6000,774,12.9
2021-10-01,30,6000,718,11.97
2021-10-01,31,6000,790,13.17
2021-10-01,32,6000,736,12.27
2021-10-01,33,6000,799,13.32
2021-10-01,34,6000,781,13.02
2021-10-01,35,6000,736,12.27
2021-10-01,36,6000,784,13.07
2021-10-01,37,6000,733,12.22
2021-10-01,38,6000,737,12.28
2021-10-01,39,6000,825,13.75
2021-10-01,40,6000,697,11.62
2021-10-01,41,6000,753,12.55
2021-10-01,42,6000,697,11.62
2021-10-01,43,6000,785,13.08
2021-10-01,44,6000,745,12.42
2021-10-01,45,6000,787,13.12
2021-10-01,46,6000,780,13.0
2021-10-01,47,6000,782,13.03
2021-10-01,48,6000,745,12.42
2021-10-01,49,6000,723,12.05
2021-10-01,50,6000,775,12.92
2021-10-01,51,6000,761,12.68
2021-10-01,52,6000,685,11.42
2021-11-01,0,4852,4852,100.0
2021-11-01,1,4852,593,12.22
2021-11-01,2,4852,565,11.64
2021-11-01,3,4852,540,11.13
2021-11-01,4,4852,555,11.44
2021-11-01,5,4852,545,11.23
2021-11-01,6,4852,579,11.93
2021-11-01,7,4852,571,11.77
2021-11-01,8,4852,564,11.62
2021-11-01,9,4852,617,12.72
2021-11-01,10,4852,554,11.42
2021-11-01,11,4852,583,12.02
2021-11-01,12,4852,580,11.95
2021-11-01,13,4852,592,12.2
2021-11-01,14,4852,595,12.26
2021-11-01,15,4852,560,11.54
2021-11-01,16,4852,573,11.81
2021-11-01,17,4852,559,11.52
2021-11-01,18,4852,594,12.24
2021-11-01,19,4852,598,12.32
2021-11-01,20,4852,615,12.68
2021-11-01,21,4852,602,12.41
2021-11-01,22,4852,548,11.29
2021-11-01,23,4852,605,12.47
2021-11-01,24,4852,612,12.61
2021-11-01,25,4852,584,12.04
2021-11-01,26,4852,615,12.68
2021-11-01,27,4852,552,11.38
2021-11-01,28,4852,588,12.12
2021-11-01,29,4852,599,12.35
2021-11-01,30,4852,621,12.8
2021-11-01,31,4852,565,11.64
2021-11-01,32,4852,592,12.2
2021-11-01,33,4852,585,12.06
2021-11-01,34,4852,608,12.53
2021-11-01,35,4852,599,12.35
2021-11-01,36,4852,596,12.28
2021-11-01,37,4852,632,13.03
2021-11-01,38,4852,605,12.47
2021-11-01,39,4852,540,11.13
2021-11-01,40,4852,550,11.34
2021-11-01,41,4852,580,11.95
2021-11-01,42,4852,568,11.71
2021-11-01,43,4852,575,11.85
2021-11-01,44,4852,561,11.56
2021-11-01,45,4852,613,12.63
2021-11-01,46,4852,569,11.73
2021-11-01,47,4852,608,12.53
2021-11-01,48,4852,571,11.77
2021-11-01,49,4852,620,12.78
2021-11-01,50,4852,577,11.89
2021-11-01,51,4852,494,10.18
2021-12-01,0,4641,4641,100.0
2021-12-01,1,4641,556,11.98
2021-12-01,2,4641,490,10.56
2021-12-01,3,4641,536,11.55
2021-12-01,4,4641,507,10.92
2021-12-01,5,4641,491,10.58
2021-12-01,6,4641,522,11.25
2021-12-01,7,4641,563,12.13
2021-12-01,8,4641,580,12.5
2021-12-01,9,4641,517,11.14
2021-12-01,10,4641,531,11.44
2021-12-01,11,4641,535,11.53
2021-12-01,12,4641,537,11.57
2021-12-01,13,4641,549,11.83
2021-12-01,14,4641,518,11.16
2021-12-01,15,4641,559,12.04
2021-12-01,16,4641,563,12.13
2021-12-01,17,4641,558,12.02
2021-12-01,18,4641,525,11.31
2021-12-01,19,4641,511,11.01
2021-12-01,20,4641,544,11.72
2021-12-01,21,4641,485,10.45
2021-12-01,22,4641,532,11.46
2021-12-01,23,4641,534,11.51
2021-12-01,24,4641,529,11.4
2021-12-01,25,4641,551,11.87
2021-12-01,26,4641,489,10.54
2021-12-01,27,4641,579,12.48
2021-12-01,28,4641,536,11.55
2021-12-01,29,4641,517,11.14
2021-12-01,30,4641,469,10.11
2021-12-01,31,4641,516,11.12
2021-12-01,32,4641,550,11.85
2021-12-01,33,4641,530,11.42
2021-12-01,34,4641,577,12.43
2021-12-01,35,4641,532,11.46
2021-12-01,36,4641,484,10.43
2021-12-01,37,4641,515,11.1
2021-12-01,38,4641,446,9.61
2021-12-01,39,4641,525,11.31
2021-12-01,40,4641,511,11.01
2021-12-01,41,4641,505,10.88
2021-12-01,42,4641,499,10.75
2021-12-01,43,4641,560,12.07
2021-12-01,44,4641,533,11.48
2021-12-01,45,4641,482,10.39
2021-12-01,46,4641,534,11.51
2021-12-01,47,4641,530,11.42
2021-12-01,48,4641,544,11.72
2021-12-01,49,4641,508,10.95
2021-12-01,50,4641,476,10.26
2022-01-01,0,4068,4068,100.0
2022-01-01,1,4068,395,9.71
2022-01-01,2,4068,460,11.31
2022-01-01,3,4068,428,10.52
2022-01-01,4,4068,476,11.7
2022-01-01,5,4068,433,10.64
2022-01-01,6,4068,482,11.85
2022-01-01,7,4068,490,12.05
2022-01-01,8,4068,453,11.14
2022-01-01,9,4068,434,10.67
2022-01-01,10,4068,446,10.96
2022-01-01,11,4068,447,10.99
2022-01-01,12,4068,424,10.42
2022-01-01,13,4068,414,10.18
2022-01-01,14,4068,465,11.43
2022-01-01,15,4068,466,11.46
2022-01-01,16,4068,458,11.26
2022-01-01,17,4068,423,10.4
2022-01-01,18,4068,481,11.82
2022-01-01,19,4068,466,11.46
2022-01-01,20,4068,448,11.01
2022-01-01,21,4068,481,11.82
2022-01-01,22,4068,438,10.77
2022-01-01,23,4068,403,9.91
2022-01-01,24,4068,443,10.89
2022-01-01,25,4068,458,11.26
2022-01-01,26,4068,475,11.68
2022-01-01,27,4068,472,11.6
2022-01-01,28,4068,461,11.33
2022-01-01,29,4068,447,10.99
2022-01-01,30,4068,444,10.91
2022-01-01,31,4068,456,11.21
2022-01-01,32,4068,439,10.79
2022-01-01,33,4068,452,11.11
2022-01-01,34,4068,440,10.82
2022-01-01,35,4068,418,10.28
2022-01-01,36,4068,475,11.68
2022-01-01,37,4068,411,10.1
2022-01-01,38,4068,473,11.63
2022-01-01,39,4068,450,11.06
2022-01-01,40,4068,453,11.14
2022-01-01,41,4068,435,10.69
2022-01-01,42,4068,465,11.43
2022-01-01,43,4068,448,11.01
2022-01-01,44,4068,411,10.1
2022-01-01,45,4068,459,11.28
2022-01-01,46,4068,384,9.44
2022-01-01,47,4068,468,11.5
2022-01-01,48,4068,480,11.8
2022-01-01,49,4068,401,9.86
2022-02-01,0,3243,3243,100.0
2022-02-01,1,3243,370,11.41
2022-02-01,2,3243,338,10.42
2022-02-01,3,3243,335,10.33
2022-02-01,4,3243,325,10.02
2022-02-01,5,3243,347,10.7
2022-02-01,6,3243,359,11.07
2022-02-01,7,3243,333,10.27
2022-02-01,8,3243,381,11.75
2022-02-01,9,3243,324,9.99
2022-02-01,10,3243,342,10.55
2022-02-01,11,3243,341,10.51
2022-02-01,12,3243,309,9.53
2022-02-01,13,3243,388,11.96
2022-02-01,14,3243,333,10.27
2022-02-01,15,3243,325,10.02
2022-02-01,16,3243,339,10.45
2022-02-01,17,3243,365,11.26
2022-02-01,18,3243,343,10.58
