month,total_transaction_rows,completed_transactions,returned_transactions,cancelled_transactions,pending_transactions,purchasing_customers,completed_revenue,avg_completed_transaction_value,completed_units_sold,completion_rate_pct,return_rate_pct,cancellation_rate_pct
2024-08-01,49356,31006.0,6136.0,6073.0,6141.0,27946,3169254.83,102.21,48651.0,62.82,12.43,12.3
2026-01-01,49363,30929.0,6202.0,6105.0,6127.0,27828,3496911.82,113.06,53586.0,62.66,12.56,12.37
2021-04-01,47708,29821.0,6055.0,5845.0,5987.0,26920,2688869.06,90.17,41014.0,62.51,12.69,12.25
2021-12-01,49307,30807.0,6175.0,6127.0,6198.0,27758,4153629.33,134.83,63607.0,62.48,12.52,12.43
2022-01-01,49152,30820.0,6058.0,6123.0,6151.0,27789,3501922.75,113.63,53371.0,62.7,12.33,12.46
2022-08-01,49334,30830.0,6264.0,6159.0,6081.0,27885,3122427.46,101.28,48097.0,62.49,12.7,12.48
2021-06-01,48160,30261.0,5917.0,5977.0,6005.0,27316,2812081.06,92.93,42994.0,62.83,12.29,12.41
2022-12-01,49183,30725.0,6165.0,6167.0,6126.0,27792,4183680.01,136.17,64302.0,62.47,12.53,12.54
2023-01-01,49384,30788.0,6016.0,6213.0,6367.0,27824,3474439.73,112.85,53717.0,62.34,12.18,12.58
2023-08-01,49922,31272.0,6166.0,6297.0,6187.0,28146,3213311.0,102.75,48927.0,62.64,12.35,12.61
2024-04-01,47629,29699.0,6054.0,5995.0,5881.0,26818,2647970.32,89.16,40575.0,62.35,12.71,12.59
2022-04-01,47913,29824.0,6058.0,6068.0,5963.0,26950,2679522.07,89.84,40928.0,62.25,12.64,12.66
2023-09-01,47866,29674.0,5965.0,6166.0,6061.0,26771,3142386.4,105.9,48143.0,61.99,12.46,12.88
2024-06-01,47518,29702.0,5892.0,5949.0,5975.0,26794,2747248.09,92.49,42121.0,62.51,12.4,12.52
2023-03-01,49452,30978.0,6357.0,6064.0,6053.0,27926,2684143.08,86.65,41202.0,62.64,12.85,12.26
2021-11-01,47386,29724.0,5970.0,5879.0,5813.0,26842,3787958.87,127.44,58012.0,62.73,12.6,12.41
2022-09-01,47663,29928.0,6019.0,5936.0,5780.0,27005,3179264.59,106.23,48163.0,62.79,12.63,12.45
2024-03-01,49186,30844.0,6179.0,6205.0,5958.0,27701,2686828.41,87.11,41061.0,62.71,12.56,12.62
2025-05-01,49427,30884.0,6244.0,6168.0,6131.0,27775,2871872.91,92.99,44017.0,62.48,12.63,12.48
2021-07-01,49276,30911.0,6096.0,5993.0,6276.0,27791,2680336.65,86.71,41033.0,62.73,12.37,12.16
2022-03-01,49266,30753.0,6226.0,6093.0,6194.0,27681,2658780.19,86.46,40711.0,62.42,12.64,12.37
2023-02-01,44932,28101.0,5584.0,5728.0,5519.0,25535,2253513.59,80.19,34787.0,62.54,12.43,12.75
2023-07-01,49374,30831.0,6253.0,6173.0,6117.0,27844,2691820.93,87.31,41098.0,62.44,12.66,12.5
2025-03-01,49323,30708.0,6210.0,6236.0,6169.0,27672,2682527.54,87.36,40765.0,62.26,12.59,12.64
2025-10-01,49518,30862.0,6187.0,6271.0,6198.0,27796,3083712.74,99.92,47174.0,62.32,12.49,12.66
2022-05-01,49379,30786.0,6129.0,6318.0,6146.0,27778,2861206.74,92.94,43692.0,62.35,12.41,12.79
2022-11-01,48373,30201.0,6018.0,6156.0,5998.0,27217,3903760.87,129.26,59437.0,62.43,12.44,12.73
2025-11-01,47655,29770.0,5941.0,5936.0,6008.0,26976,3830019.94,128.65,58645.0,62.47,12.47,12.46
2022-07-01,49489,31088.0,6061.0,6066.0,6274.0,27919,2679968.48,86.21,41159.0,62.82,12.25,12.26
2021-05-01,49244,30888.0,6282.0,5933.0,6141.0,27886,2873836.83,93.04,43952.0,62.72,12.76,12.05
2022-10-01,49258,30864.0,6016.0,6147.0,6231.0,27732,3047422.85,98.74,46669.0,62.66,12.21,12.48
2023-05-01,49025,30598.0,6235.0,6069.0,6123.0,27583,2841524.9,92.87,43229.0,62.41,12.72,12.38
2024-01-01,49139,30950.0,6142.0,5965.0,6082.0,27951,3527485.07,113.97,53910.0,62.98,12.5,12.14
2024-02-01,45929,28586.0,5797.0,5740.0,5806.0,25962,2325819.25,81.36,35455.0,62.24,12.62,12.5
2024-11-01,47763,29972.0,5811.0,6075.0,5905.0,27092,3867505.38,129.04,58678.0,62.75,12.17,12.72
2026-02-01,43186,26989.0,5391.0,5416.0,5390.0,24758,2191142.03,81.19,33545.0,62.49,12.48,12.54
2024-05-01,49297,30850.0,6108.0,6214.0,6125.0,27786,2873655.43,93.15,43634.0,62.58,12.39,12.61
2025-01-01,49699,31090.0,6135.0,6163.0,6311.0,28044,3531519.16,113.59,53832.0,62.56,12.34,12.4
2025-02-01,44498,27800.0,5586.0,5614.0,5498.0,25326,2255050.19,81.12,34633.0,62.47,12.55,12.62
2025-09-01,47678,29771.0,6059.0,5835.0,6013.0,26873,3151909.82,105.87,48273.0,62.44,12.71,12.24
2024-07-01,49142,30579.0,6052.0,6222.0,6289.0,27533,2666908.78,87.21,40616.0,62.23,12.32,12.66
2024-12-01,49448,30995.0,6146.0,6229.0,6078.0,27881,4237102.45,136.7,64238.0,62.68,12.43,12.6
2025-12-01,49128,30709.0,6040.0,6160.0,6219.0,27743,4175859.89,135.98,63683.0,62.51,12.29,12.54
2021-01-01,49414,30977.0,6303.0,5984.0,6150.0,27860,3495545.23,112.84,53269.0,62.69,12.76,12.11
2025-04-01,47273,29705.0,5925.0,5825.0,5818.0,26886,2701168.86,90.93,41237.0,62.84,12.53,12.32
